"instrument","date","open","high","low","close","volume","source","complete"
"XAU_USD","2024-09-27","2672.68","2674.375","2643.155","2658.55","294512","oanda_v20_mid_utc","true"
"XAU_USD","2024-09-29","2661.815","2665.135","2659.91","2663.63","10402","oanda_v20_mid_utc","true"
"XAU_USD","2024-09-30","2663.655","2666.05","2624.78","2635.77","288450","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-01","2635.85","2673.26","2634","2660.44","243046","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-02","2660.415","2663.445","2641.18","2660.335","254832","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-03","2660.39","2663.015","2637.015","2655.875","380374","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-04","2655.895","2670.24","2632.015","2653.84","469794","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-06","2651.39","2652.485","2649.775","2650.27","9505","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-07","2650.255","2659.66","2637.77","2643.06","461972","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-08","2643.08","2653.115","2604.82","2622.02","596347","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-09","2622.005","2624.375","2605.21","2608.48","457808","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-10","2608.54","2636.005","2604.39","2633.24","484385","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-11","2633.245","2661.475","2632.1","2657.18","373036","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-13","2648.805","2652.65","2646.955","2648.145","13178","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-14","2648.185","2666.875","2643.245","2649.475","346079","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-15","2649.455","2668.965","2638.105","2660.56","475427","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-16","2660.485","2685.465","2658.8","2674.17","441854","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-17","2674.185","2696.8","2673.165","2693.85","475388","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-18","2693.83","2722.65","2692.91","2721.9","461684","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-20","2723.09","2725.2","2720.34","2723.48","11498","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-21","2723.525","2740.6","2714.235","2721.565","521994","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-22","2721.56","2748.975","2720.72","2746.63","443005","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-23","2746.625","2758.525","2708.755","2721.405","515106","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-24","2721.385","2743.325","2717.93","2733.85","444524","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-25","2733.915","2747.835","2717.1","2747.215","390237","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-27","2734.065","2740.33","2730.335","2735.82","22662","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-28","2735.825","2746.01","2724.755","2744.54","358841","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-29","2744.55","2775.535","2743.36","2775.125","433637","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-30","2775.135","2790.07","2770.925","2785.51","407460","oanda_v20_mid_utc","true"
"XAU_USD","2024-10-31","2785.54","2790.17","2731.635","2746.785","447328","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-01","2746.81","2762.275","2733.255","2736.45","434328","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-03","2732.04","2740.395","2732.04","2738.43","7077","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-04","2738.415","2748.24","2731.77","2736.08","393598","oanda_v20_mid_utc","true"
"XAU_USD","2024-11-05","2736.13","2750.09","2724.765","2745.68","360254","oanda_v20_mid_utc","true"
