"instrument","date","open","high","low","close","volume","source","complete"
"BTCUSDT","2024-02-25","51568.21","51958.55","51279.8","51728.85","18721.63159","binance_spot_klines","true"
"BTCUSDT","2024-02-26","51728.85","54910","50901.44","54476.47","51256.72199","binance_spot_klines","true"
"BTCUSDT","2024-02-27","54476.48","57588.15","54450.13","57037.34","67194.98562","binance_spot_klines","true"
"BTCUSDT","2024-02-28","57037.35","64000","56691.85","62432.1","118763.46984","binance_spot_klines","true"
"BTCUSDT","2024-02-29","62432.11","63676.35","60364.7","61130.98","78425.07603","binance_spot_klines","true"
"BTCUSDT","2024-03-01","61130.99","63114.23","60777","62387.9","47737.93473","binance_spot_klines","true"
"BTCUSDT","2024-03-02","62387.9","62433.19","61561.12","61987.28","25534.73659","binance_spot_klines","true"
"BTCUSDT","2024-03-03","61987.28","63231.88","61320","63113.97","28994.90903","binance_spot_klines","true"
"BTCUSDT","2024-03-04","63113.97","68499","62300","68245.71","84835.16005","binance_spot_klines","true"
"BTCUSDT","2024-03-05","68245.71","69000","59005","63724.01","132696.7813","binance_spot_klines","true"
"BTCUSDT","2024-03-06","63724.01","67641.1","62779.14","66074.04","78738.85491","binance_spot_klines","true"
"BTCUSDT","2024-03-07","66074.04","67980","65551","66823.17","53059.8869","binance_spot_klines","true"
"BTCUSDT","2024-03-08","66823.18","69990","66082.66","68124.19","74261.932842","binance_spot_klines","true"
"BTCUSDT","2024-03-09","68124.2","68541.1","67861.1","68313.27","19872.89743","binance_spot_klines","true"
"BTCUSDT","2024-03-10","68313.28","69887.61","68094.75","68955.88","38404.66835","binance_spot_klines","true"
"BTCUSDT","2024-03-11","68955.88","72800","67024.96","72078.1","75292.825726","binance_spot_klines","true"
"BTCUSDT","2024-03-12","72078.1","73000","68620.82","71452.01","68783.546691","binance_spot_klines","true"
"BTCUSDT","2024-03-13","71452","73650.25","71333.31","73072.41","52659.711647","binance_spot_klines","true"
"BTCUSDT","2024-03-14","73072.4","73777","68555","71388.94","71757.628746","binance_spot_klines","true"
"BTCUSDT","2024-03-15","71388.94","72419.71","65600","69499.85","103334.03546","binance_spot_klines","true"
"BTCUSDT","2024-03-16","69499.84","70043","64780","65300.63","55926.95336","binance_spot_klines","true"
"BTCUSDT","2024-03-17","65300.64","68904.4","64533","68393.48","49742.21589","binance_spot_klines","true"
