"instrument","date","open","high","low","close","volume","source","complete"
"NAS100_USD","2024-08-01","19556.2","19598.8","18724","18795.9","664248","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-02","18794.4","18816","18267.9","18409.8","644107","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-04","18241.2","18281.6","18110.6","18159.4","12432","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-05","18159.8","18194.8","17248.4","18191.8","589580","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-06","18192.8","18390.4","17872","17963.8","589506","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-07","17964","18465.7","17652.3","17751.5","585203","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-08","17752","18526","17732.8","18510.8","515461","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-09","18510.2","18584.8","18292.8","18507.6","446623","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-11","18532.1","18566.2","18425.1","18536.1","10500","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-12","18536.4","18673.3","18432.6","18569.8","348443","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-13","18572.4","19040.1","18552.2","19033.6","330272","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-14","19033.3","19122","18842.5","19021.4","390673","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-15","19021.5","19551","19019.4","19524","322420","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-16","19524.8","19593.6","19359.2","19523.4","319059","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-18","19537.2","19586.7","19536.4","19561.2","9060","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-19","19561.7","19799.6","19439.2","19782","293883","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-20","19782.2","19852.4","19664.7","19714.2","324953","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-21","19714","19905.7","19695.8","19859.4","356082","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-22","19858.2","19948.2","19470.1","19566.6","438232","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-23","19566.4","19831.1","19524.6","19707.8","384809","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-25","19721.2","19762.1","19648.2","19694.6","10246","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-26","19695.4","19777.6","19438.5","19511.9","378898","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-27","19511.6","19635","19382.9","19527.8","337224","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-28","19528","19630.8","19088","19139.8","420762","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-29","19139.8","19638.8","19138.8","19377.8","458921","oanda_v20_mid_utc","true"
"NAS100_USD","2024-08-30","19377.9","19583.4","19318","19545.6","388347","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-01","19562.8","19577","19520","19536.9","5206","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-02","19536.8","19632.7","19462","19530.2","94134","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-03","19532.4","19593.9","18873.8","18918.8","459206","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-04","18918.9","19075.8","18787.6","18895.8","465362","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-05","18895.8","19114","18793.2","18874.4","436812","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-06","18875","18935.2","18309.8","18338.4","521737","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-08","18385","18431","18356.5","18416.6","13557","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-09","18416.8","18718.2","18411","18690.4","412662","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-10","18690.2","18854","18560.4","18814.6","402452","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-11","18814.6","19275.6","18525.3","19225.8","510744","oanda_v20_mid_utc","true"
"NAS100_USD","2024-09-12","19226","19467.4","19167.3","19434.8","449904","oanda_v20_mid_utc","true"
